column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
game_id,VARCHAR(20),False,game(game_id)
team_side,VARCHAR(5),False,
team_code,VARCHAR(10),False,
player_id,INTEGER,False,
player_name,VARCHAR(64),False,
batting_order,INTEGER,False,
is_starter,BOOLEAN,False,
appearance_seq,INTEGER,False,
position,VARCHAR(8),False,
plate_appearances,INTEGER,False,
at_bats,INTEGER,False,
runs,INTEGER,False,
hits,INTEGER,False,
doubles,INTEGER,False,
triples,INTEGER,False,
home_runs,INTEGER,False,
rbi,INTEGER,False,
walks,INTEGER,False,
intentional_walks,INTEGER,False,
hbp,INTEGER,False,
strikeouts,INTEGER,False,
stolen_bases,INTEGER,False,
caught_stealing,INTEGER,False,
sacrifice_hits,INTEGER,False,
sacrifice_flies,INTEGER,False,
gdp,INTEGER,False,
avg,FLOAT,False,
obp,FLOAT,False,
slg,FLOAT,False,
ops,FLOAT,False,
iso,FLOAT,False,
babip,FLOAT,False,
extra_stats,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
uniform_no,VARCHAR(10),False,
